iter	Passed	Remaining
400	29788	118780
401	29854	118676
402	29928	118599
403	29994	118493
404	30062	118394
405	30130	118296
406	30199	118199
407	30266	118098
408	30337	118012
409	30406	117916
410	30474	117820
411	30541	117717
412	30610	117622
413	30677	117521
414	30745	117425
415	30813	117329
416	30879	117222
417	30954	117153
418	31019	117046
419	31087	116947
420	31165	116887
421	31231	116786
422	31302	116701
423	31370	116603
424	31438	116507
425	31506	116410
426	31574	116313
427	31642	116220
428	31711	116127
429	31775	116018
430	31847	115936
431	31924	115875
432	31992	115780
433	32058	115676
434	32123	115570
435	32191	115477
436	32257	115374
437	32326	115283
438	32394	115189
439	32464	115103
440	32530	114998
441	32598	114907
442	32663	114802
443	32732	114710
444	32801	114620
445	32871	114533
446	32944	114457
447	33011	114360
448	33078	114264
449	33146	114172
450	33216	114086
451	33284	113990
452	33350	113893
453	33417	113795
454	33486	113707
455	33553	113610
456	33624	113530
457	33690	113430
458	33753	113320
459	33820	113226
460	33891	113142
461	33959	113050
462	34026	112955
463	34096	112870
464	34164	112779
465	34234	112694
466	34301	112600
467	34371	112513
468	34441	112429
469	34512	112350
470	34585	112275
471	34651	112176
472	34717	112080
473	34783	111983
474	34851	111892
475	34927	111826
476	34996	111738
477	35061	111639
478	35128	111547
479	35194	111448
480	35261	111356
481	35327	111260
482	35393	111161
483	35465	111085
484	35528	110980
485	35597	110893
486	35665	110805
487	35734	110717
488	35804	110635
489	35871	110543
490	35947	110478
491	36015	110388
492	36081	110294
493	36148	110202
494	36214	110106
495	36291	110046
496	36359	109955
497	36430	109875
498	36502	109798
499	36578	109736
500	36652	109665
501	36718	109571
502	36786	109482
503	36850	109382
504	36925	109314
505	36990	109218
506	37056	109122
507	37121	109026
508	37189	108938
509	37255	108843
510	37322	108752
511	37385	108652
512	37451	108559
513	37520	108474
514	37590	108391
515	37659	108306
516	37727	108220
517	37795	108132
518	37867	108058
519	37942	107988
520	38011	107906
521	38079	107818
522	38148	107734
523	38211	107634
524	38282	107555
525	38349	107466
526	38417	107379
527	38487	107299
528	38556	107214
529	38622	107123
530	38690	107035
531	38755	106941
532	38819	106845
533	38899	106790
534	38969	106709
535	39035	106618
536	39100	106525
537	39168	106439
538	39240	106363
539	39308	106279
540	39376	106191
541	39446	106112
542	39520	106043
543	39588	105956
544	39653	105865
545	39725	105789
546	39796	105711
547	39861	105617
548	39934	105545
549	40000	105456
550	40067	105368
551	40135	105283
552	40204	105200
553	40279	105133
554	40349	105052
555	40415	104963
556	40486	104888
557	40550	104792
558	40616	104700
559	40689	104629
560	40758	104548
561	40826	104463
562	40903	104401
563	40971	104316
564	41033	104218
565	41101	104134
566	41173	104059
567	41240	103972
568	41310	103892
569	41376	103804
570	41443	103716
571	41508	103626
572	41574	103536
573	41646	103464
574	41717	103387
575	41787	103307
576	41854	103221
577	41929	103154
578	41999	103075
579	42086	103040
580	42174	103004
581	42257	102957
582	42337	102903
583	42411	102834
584	42484	102762
585	42550	102672
586	42618	102590
587	42689	102513
588	42756	102427
589	42824	102343
590	42908	102298
591	42989	102246
592	43065	102181
593	43134	102098
594	43203	102019
595	43282	101959
596	43350	101877
597	43415	101787
598	43484	101706
599	43552	101621
600	43624	101549
601	43694	101469
602	43760	101382
603	43826	101295
604	43905	101236
605	43975	101158
606	44042	101073
607	44109	100988
608	44175	100900
609	44246	100823
610	44313	100738
611	44379	100651
612	44445	100564
613	44513	100481
614	44582	100401
615	44650	100318
616	44716	100232
617	44784	100149
618	44852	100065
619	44923	99991
620	44993	99912
621	45059	99825
622	45127	99743
623	45194	99660
624	45269	99593
625	45344	99526
626	45415	99450
627	45483	99369
628	45552	99289
629	45622	99210
630	45695	99139
631	45762	99054
632	45827	98967
633	45902	98901
634	45970	98818
635	46036	98731
636	46103	98648
637	46167	98558
638	46235	98475
639	46306	98400
640	46371	98314
641	46438	98229
642	46506	98147
643	46586	98091
644	46650	98001
645	46723	97931
646	46791	97849
647	46862	97774
648	46935	97703
649	47000	97616
650	47083	97566
651	47156	97496
652	47245	97457
653	47313	97376
654	47380	97293
655	47446	97207
656	47516	97130
657	47585	97051
658	47652	96968
659	47717	96881
660	47784	96798
661	47850	96713
662	47926	96647
663	47991	96561
664	48060	96483
665	48130	96406
666	48196	96321
667	48263	96238
668	48330	96154
669	48394	96066
670	48464	95989
671	48531	95908
672	48595	95819
673	48662	95736
674	48728	95651
675	48795	95570
676	48871	95505
677	48949	95443
678	49018	95366
679	49090	95293
680	49162	95220
681	49231	95142
682	49313	95089
683	49384	95014
684	49453	94936
685	49527	94867
686	49605	94806
687	49672	94724
688	49745	94654
689	49815	94577
690	49904	94536
691	49974	94460
692	50043	94382
693	50115	94310
694	50190	94242
695	50267	94179
696	50339	94107
697	50416	94043
698	50496	93986
699	50570	93916
700	50647	93852
701	50724	93789
702	50804	93731
703	50887	93680
704	50965	93616
705	51039	93548
706	51120	93492
707	51196	93426
708	51277	93370
709	51356	93309
710	51426	93233
711	51525	93209
712	51603	93147
713	51675	93074
714	51745	92997
715	51821	92931
716	51901	92873
717	51969	92793
718	52044	92724
719	52112	92644
720	52188	92577
721	52261	92507
722	52331	92430
723	52400	92352
724	52472	92279
725	52542	92202
726	52613	92127
